Mes pago tarjeta;Fecha gasto;descripcion;importe;Tarjeta;Cuota;Con cuota;cantidad cuotas;Cierra;Vence;¿ Vencido ?;Agrupado;actual y proximo;Cuota Finalizada;tipo
44621;44621;SUELDO;65275,6;INGRESO;1;No;1;44621;44621;Vencido;INGRESO;No;VERDADERO;REAL
44652;44652;SUELDO;190000;INGRESO;1;No;1;44652;44652;Vencido;INGRESO;No;VERDADERO;REAL
44682;44682;SUELDO;190000;INGRESO;1;No;1;44682;44682;Proyectado y Actual;INGRESO;Actual y Proximo;VERDADERO;REAL
44562;44562;PERSONAL;-1550,93;PERSONAL;1;Si;1;44562;44562;Vencido;GASTO;No;VERDADERO;REAL
44593;44593;PERSONAL;-1550,93;PERSONAL;1;Si;1;44593;44593;Vencido;GASTO;No;VERDADERO;REAL
44621;44621;PERSONAL;-1550,93;PERSONAL;1;Si;1;44621;44621;Vencido;GASTO;No;VERDADERO;REAL
44652;44657;PERSONAL;-1561,05;PERSONAL;1;Si;1;44652;44652;Vencido;GASTO;No;VERDADERO;REAL
44652;44678;PERSONAL;-1757;PERSONAL;1;Si;1;44682;44682;Vencido;GASTO;No;VERDADERO;REAL
44562;44562;METROGAS;-1000;PAGO SERVICIOS;1;No;1;44562;44562;Vencido;GASTO;No;VERDADERO;REAL
44593;44607;METROGAS;-884,54;PAGO SERVICIOS;1;No;1;44593;44593;Vencido;GASTO;No;VERDADERO;REAL
44621;44648;METROGAS;-1174,98;PAGO SERVICIOS;1;No;1;44621;44621;Vencido;GASTO;No;VERDADERO;REAL
44652;44678;METROGAS;-647,99;PAGO SERVICIOS;1;No;1;44652;44657;Vencido;GASTO;No;VERDADERO;REAL
44562;44562;AYSA;-400;PAGO SERVICIOS;1;No;1;44562;44562;Vencido;GASTO;No;VERDADERO;REAL
44593;44604;AYSA;-390,07;PAGO SERVICIOS;1;No;1;44593;44593;Vencido;GASTO;No;VERDADERO;REAL
44621;44621;AYSA;-390,07;PAGO SERVICIOS;1;No;1;44621;44621;Vencido;GASTO;No;VERDADERO;REAL
44652;44657;AYSA;-390,07;PAGO SERVICIOS;1;No;1;44652;44657;Vencido;GASTO;No;VERDADERO;REAL
44562;44592;EDESUR;-1096,47;PAGO SERVICIOS;1;No;1;44562;44562;Vencido;GASTO;No;VERDADERO;REAL
44593;44607;EDESUR;-1587,54;PAGO SERVICIOS;1;No;1;44593;44593;Vencido;GASTO;No;VERDADERO;REAL
44621;44650;EDESUR;-1591,52;PAGO SERVICIOS;1;No;1;44621;44621;Vencido;GASTO;No;VERDADERO;REAL
44652;44679;EDESUR;-1128,39;PAGO SERVICIOS;1;No;1;44652;44657;Vencido;GASTO;No;VERDADERO;REAL
44470;44544;ABL;-600;PAGO SERVICIOS;1;No;1;44470;44470;Vencido;GASTO;No;VERDADERO;REAL
44593;44606;ABL;-655,26;PAGO SERVICIOS;1;No;1;44593;44593;Vencido;GASTO;No;VERDADERO;REAL
44621;44606;ABL;-690,78;PAGO SERVICIOS;1;No;1;44621;44621;Vencido;GASTO;No;VERDADERO;REAL
44652;44657;ABL;-707,98;PAGO SERVICIOS;1;No;1;44652;44657;Vencido;GASTO;No;VERDADERO;REAL
44652;44657;ABL;-734,9;PAGO SERVICIOS;1;No;1;44682;44687;Vencido;GASTO;No;VERDADERO;REAL
44409;44438;COMIDA TOBY;-6656,4;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44420;CUBIERTOS;-2280;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44422;CARNICERIA;-920;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44422;VERDULERIA;-1260;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44422;FUTBOL;-400;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44440;44421;PEDIDOS YA;-2539;VISA SANTANDER;1;No;1;44448;44459;Vencido;GASTO;No;VERDADERO;REAL
44440;44422;DIA;-2968,89;VISA SANTANDER;1;No;1;44448;44459;Vencido;GASTO;No;VERDADERO;REAL
44440;44417;FARMACITY;-1601,41;VISA SANTANDER;1;Si;2;44448;44459;Vencido;GASTO;No;FALSO;REAL
44470;44417;FARMACITY;-1601,41;VISA SANTANDER;2;Si;2;44476;44487;Vencido;GASTO;No;VERDADERO;REAL
44409;44425;VAYO BUSSINESS;-100000;INVERSION;1;No;1;44409;44409;Vencido;INVERSION;No;VERDADERO;REAL
44409;44425;CARNICERIA;-1260;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44425;SUPERMERCADO CHINO;-480;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44428;SUPERMERCADO CHINO;-520;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44428;PIZZA;-920;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44428;VERDULERIA;-1100;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44431;SALIDA AMIGOS;-2500;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44430;FUTBOL;-500;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44432;DIETETICA;-2770;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44434;DIETETICA;-3595;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44434;GIMNASIO;-2400;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44431;CUMPLEANIOS;-500;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44440;44429;DIA;-939;VISA SANTANDER;1;No;1;44448;44459;Vencido;GASTO;No;VERDADERO;REAL
44440;44427;DIA;-1366,3;VISA SANTANDER;1;No;1;44448;44459;Vencido;GASTO;No;VERDADERO;REAL
44409;43831;BOCA;-450;VISA SANTANDER;1;No;1;44413;44421;Vencido;GASTO;No;VERDADERO;REAL
